userId,username,role,csvExists,dbExists,identityMatch,roleMatch,statusMatch,departmentMatch,academicMatch,overallStatus
ROOT-ADMIN-001,rootadmin,ROOT_ADMIN,true,true,true,true,true,true,true,PASS
ADMIN-001,admin01,ADMIN,true,true,true,true,true,true,true,PASS
ADMIN-002,admin02,ADMIN,true,true,true,true,true,true,true,PASS
ADMIN-003,admin03,ADMIN,true,true,true,true,true,true,true,PASS
ADMIN-004,admin04,ADMIN,true,true,true,true,true,true,true,PASS
MGT-001,management01,MANAGEMENT,true,true,true,true,true,true,true,PASS
MGT-002,management02,MANAGEMENT,true,true,true,true,true,true,true,PASS
MGT-003,management03,MANAGEMENT,true,true,true,true,true,true,true,PASS
MGT-004,management04,MANAGEMENT,true,true,true,true,true,true,true,PASS
MGT-005,management05,MANAGEMENT,true,true,true,true,true,true,true,PASS
MGT-006,management06,MANAGEMENT,true,true,true,true,true,true,true,PASS
MGT-007,management07,MANAGEMENT,true,true,true,true,true,true,true,PASS
MGT-008,management08,MANAGEMENT,true,true,true,true,true,true,true,PASS
CSE-HOD-001,csehod,HOD,true,true,true,true,true,true,true,PASS
EEE-HOD-001,eeehod,HOD,true,true,true,true,true,true,true,PASS
ECE-HOD-001,ecehod,HOD,true,true,true,true,true,true,true,PASS
MECH-HOD-001,mechhod,HOD,true,true,true,true,true,true,true,PASS
AGRI-HOD-001,agrihod,HOD,true,true,true,true,true,true,true,PASS
AIDS-HOD-001,aidshod,HOD,true,true,true,true,true,true,true,PASS
BT-HOD-001,bthod,HOD,true,true,true,true,true,true,true,PASS
IT-HOD-001,ithod,HOD,true,true,true,true,true,true,true,PASS
CSE-FAC-001,csefac001,FACULTY,true,true,true,true,true,true,true,PASS
CSE-FAC-002,csefac002,FACULTY,true,true,true,true,true,true,true,PASS
CSE-FAC-003,csefac003,FACULTY,true,true,true,true,true,true,true,PASS
CSE-FAC-004,csefac004,FACULTY,true,true,true,true,true,true,true,PASS
CSE-FAC-005,csefac005,FACULTY,true,true,true,true,true,true,true,PASS
CSE-FAC-006,csefac006,FACULTY,true,true,true,true,true,true,true,PASS
